time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
500,99,-0.6922942399978638,7.836493015289307,1316,24.0,0.02948671579360962,0,100,24.0,0.001,1.7210077047348022
1000,199,-0.6113445162773132,6.4545464515686035,1327,27.794117647058822,0.003138899803161621,0,200,27.794117647058822,0.001,1.2675875425338745
500,299,-0.6252614855766296,5.4200639724731445,1237,54.142857142857146,-0.004630088806152344,0,100,54.142857142857146,0.001,1.149815320968628
1000,399,-0.6764620542526245,4.55996561050415,1228,75.07692307692308,0.0045528411865234375,0,200,75.07692307692308,0.001,1.0145089626312256
500,499,-0.6338217854499817,3.801685333251953,1009,61.25,0.0004201531410217285,0,100,61.25,0.001,1.2762800455093384
1000,599,-0.501681923866272,1544.1802978515625,1042,82.83333333333333,7.927417755126953e-05,0,200,82.83333333333333,0.001,-23.159130096435547
500,699,-0.4922613203525543,1972.4898681640625,905,82.33333333333333,0.000625908374786377,0,100,82.33333333333333,0.001,-30.004749298095703
1000,799,-0.5280009508132935,1.8790700435638428,887,90.0,0.0011141300201416016,1,200,90.0,0.001,0.39491239190101624
500,899,-0.3199947476387024,1.3829721212387085,1107,100.0,0.0005943179130554199,0,100,100.0,0.001,0.7636450529098511
1000,999,-0.611752450466156,0.9693015813827515,910,95.77777777777777,0.0002955198287963867,1,200,95.77777777777777,0.001,0.4821857810020447
500,1099,-0.5942288637161255,0.629325270652771,1054,83.6,-0.00021183490753173828,0,100,83.6,0.001,0.277793824672699
1000,1199,-0.5697578191757202,0.35747236013412476,1046,101.66666666666667,-4.267692565917969e-05,0,200,101.66666666666667,0.001,0.26934435963630676
500,1299,-0.578510582447052,0.15588659048080444,1184,158.0,-2.6106834411621094e-05,0,100,158.0,0.001,0.16239526867866516
1000,1399,-0.446316659450531,1734.596923828125,1151,198.2,2.5510787963867188e-05,0,200,198.2,0.001,-1.0926592350006104
500,1499,-0.6073635816574097,0.0005539678386412561,1309,160.66666666666666,-0.0008682012557983398,0,100,160.66666666666666,0.001,0.01090210024267435
1000,1599,-0.6480494737625122,2.010655634876457e-06,1315,143.33333333333334,-0.00016808509826660156,0,200,143.33333333333334,0.001,0.000648271176032722
500,1699,-0.6237756013870239,8.69831978889124e-07,1364,193.5,0.0055696964263916016,0,100,193.5,0.001,0.0004045824462082237
1000,1799,-0.5801447629928589,1.0271452083543409e-05,1325,159.5,-0.016219139099121094,0,200,159.5,0.001,0.0015466801123693585
500,1899,-0.5710756182670593,3.875663878716296e-06,1270,146.0,-0.021017789840698242,0,100,146.0,0.001,0.0008667015354149044
1000,1999,-0.5227088332176208,5.229271664575208e-06,1297,189.4,0.013241171836853027,0,200,189.4,0.001,0.0009244095417670906
500,2099,-0.4615938663482666,7.706228757342615e-07,1347,210.5,0.0004101991653442383,0,100,210.5,0.001,0.0004943249514326453
1000,2199,-0.564022421836853,1.5133991282390014e-10,1345,273.0,nan,0,200,273.0,0.001,3.778771542783943e-06
500,2299,-0.5646360516548157,0.0,1265,217.0,nan,0,100,217.0,0.001,-0.0
1000,2399,-0.3644901514053345,2.3283064365386963e-10,1292,317.0,nan,0,200,317.0,0.001,2.3635629986529239e-07
500,2499,-0.3421856462955475,1.8626451769865326e-10,1333,349.0,nan,0,100,349.0,0.001,2.4434172019027756e-07
