time/total_timesteps,train/n_updates,train/entropy_loss,train/value_loss,time/fps,rollout/ep_rew_mean,train/explained_variance,time/time_elapsed,time/iterations,rollout/ep_len_mean,train/learning_rate,train/policy_loss
1000,302999,-0.07845013588666916,0.09631969779729843,1268,-86.110757,0.9770853519439697,0,200,286.0,0.001,0.006560859736055136
500,303099,-0.33382219076156616,0.14007261395454407,1218,254.855678,0.5535250902175903,0,100,283.0,0.001,-0.13482452929019928
1000,303199,-0.11176532506942749,0.09504827857017517,1244,254.855678,0.7471258044242859,0,200,283.0,0.001,0.004172639921307564
500,303299,-0.3100951313972473,3.420459032058716,1244,201.956115,-1.625086784362793,0,100,371.0,0.001,-0.20117691159248352
1000,303399,-0.33836829662323,0.03697627782821655,1232,52.48457400000001,0.9797630310058594,0,200,252.66666666666666,0.001,0.0984715074300766
500,303499,-0.014740826562047005,3.9119887351989746,1244,216.434917,0.013469338417053223,0,100,314.0,0.001,0.006610932294279337
1000,303599,-0.09587486833333969,0.03515895456075668,1231,237.5723986666667,0.9809722900390625,0,200,304.3333333333333,0.001,0.004926630295813084
500,303699,-0.14978381991386414,0.11797337234020233,1261,179.717467,0.8949141502380371,0,100,432.0,0.001,-0.05951802060008049
1000,303799,-0.33496958017349243,0.4454064965248108,1264,220.4407135,0.917646586894989,0,200,369.0,0.001,-0.11420553922653198
500,303899,-0.31207001209259033,0.21414026618003845,1243,276.932286,0.942054808139801,0,100,294.0,0.001,-0.11779886484146118
1000,303999,-0.16778627038002014,1.0402778387069702,1280,270.6634973333333,0.8827837109565735,0,200,297.0,0.001,0.07881145924329758
500,304099,-0.4196952283382416,8.903213500976562,1203,238.06993,-0.3110496997833252,0,100,360.0,0.001,0.408179372549057
1000,304199,-0.27735549211502075,0.10046547651290894,1234,238.06993,0.8894912004470825,0,200,360.0,0.001,0.012210870161652565
500,304299,-0.11130791902542114,13.218072891235352,1244,213.341083,-7.7582197189331055,0,100,418.0,0.001,-0.11222980916500092
1000,304399,-0.2887536883354187,0.9488577842712402,1265,213.341083,-0.20831286907196045,0,200,418.0,0.001,0.23375411331653595
500,304499,-0.039619330316782,0.5275073051452637,1236,,0.6853886246681213,0,100,,0.001,-0.007563702762126923
1000,304599,-0.05627626180648804,0.43663841485977173,1273,-68.63148,0.8575173616409302,0,200,1000.0,0.001,-0.0026355553418397903
