rollout/exploration_rate,time/episodes,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
0.908462311557789,4,0,92,23.0,32685,23.0,,,
0.7920502512562815,8,0,209,26.125,3158,26.125,27,0.14288610219955444,0.001
0.7124522613065327,12,0,289,24.083333333333332,2726,24.083333333333332,47,0.011681214906275272,0.001
0.5880804020100503,16,0,414,25.875,2715,25.875,78,0.004363372456282377,0.001
0.5244020100502513,20,0,478,23.9,2388,23.9,94,0.0015167014207690954,0.001
0.4676884422110552,24,0,535,22.291666666666668,2478,22.291666666666668,108,0.0010392243275418878,0.001
0.406,28,0,597,21.321428571428573,2411,21.321428571428573,124,0.00034967693500220776,0.001
0.3403316582914573,32,0,663,20.71875,2373,20.71875,140,0.00031620555091649294,0.001
0.27963819095477394,36,0,724,20.11111111111111,2316,20.11111111111111,155,0.000298530823783949,0.001
0.2229246231155778,40,0,781,19.525,2278,19.525,170,0.000434582558227703,0.001
0.16621105527638202,44,0,838,19.045454545454547,2239,19.045454545454547,184,0.00018198057659901679,0.001
0.10750753768844223,48,0,897,18.6875,2210,18.6875,199,0.00016880933253560215,0.001
0.0497989949748745,52,0,955,18.365384615384617,2185,18.365384615384617,213,0.00019886835070792586,0.001
0.9263718592964825,4,0,74,18.5,5310,18.5,225,0.00011063885904150084,0.001
0.8447839195979899,8,0,156,19.5,3850,19.5,238,0.0002912543131969869,0.001
0.7472763819095477,12,0,254,21.166666666666668,2839,21.166666666666668,263,0.00012574766878969967,0.001
0.6288743718592965,16,0,373,23.3125,2610,23.3125,293,5.5802680435590446e-05,0.001
0.5572361809045225,20,0,445,22.25,2494,22.25,311,0.00021472341904882342,0.001
0.45773869346733664,24,0,545,22.708333333333332,2408,22.708333333333332,336,7.354428817052394e-05,0.001
0.3970452261306532,28,0,606,21.642857142857142,2360,21.642857142857142,351,6.568394746864215e-05,0.001
0.3463015075376884,32,0,657,20.53125,2296,20.53125,364,8.737614552956074e-05,0.001
0.2925728643216081,36,0,711,19.75,2255,19.75,377,6.837852561147884e-05,0.001
0.2408341708542714,40,0,763,19.075,2223,19.075,390,4.5179520384408534e-05,0.001
0.18611055276381916,44,0,818,18.59090909090909,2202,18.59090909090909,404,5.4241456382442266e-05,0.001
0.13437185929648243,48,0,870,18.125,2181,18.125,417,0.00011502924462547526,0.001
0.0826331658291457,52,0,922,17.73076923076923,2158,17.73076923076923,430,4.379659003461711e-05,0.001
0.03586934673366837,56,0,969,17.303571428571427,2120,17.303571428571427,442,7.636217924300581e-05,0.001
0.8985125628140704,4,0,102,25.5,24957,25.5,450,6.33129384368658e-05,0.001
0.8189145728643217,8,0,182,22.75,4403,22.75,470,0.000103869111626409,0.001
0.7353366834170854,12,0,266,22.166666666666668,3281,22.166666666666668,491,0.00012858680565841496,0.001
0.5890753768844221,16,0,413,25.8125,2754,25.8125,528,8.844783587846905e-05,0.001
0.5313668341708543,20,0,471,23.55,2644,23.55,542,0.00016385565686505288,0.001
0.46868341708542716,24,0,534,22.25,2560,22.25,558,0.00010773782560136169,0.001
0.4099798994974875,28,0,593,21.178571428571427,2496,21.178571428571427,573,5.6201981351478025e-05,0.001
0.3482914572864322,32,0,655,20.46875,2417,20.46875,588,2.4125414711306803e-05,0.001
0.3035175879396985,36,0,700,19.444444444444443,2379,19.444444444444443,599,0.00028006735374219716,0.001
0.2527738693467336,40,0,751,18.775,2343,18.775,612,3.267063220846467e-05,0.001
0.20601005025125618,44,0,798,18.136363636363637,2314,18.136363636363637,624,7.348983490373939e-05,0.001
0.15825125628140713,48,0,846,17.625,2285,17.625,636,0.000265631009824574,0.001
0.11049246231155785,52,0,894,17.192307692307693,2258,17.192307692307693,648,4.6898392611183226e-05,0.001
0.059748743718592956,56,0,945,16.875,2226,16.875,661,5.4569980420637876e-05,0.001
0.014974874371859292,60,0,990,16.5,2245,16.5,672,0.00015744341362733394,0.001
0.9263718592964825,4,0,74,18.5,4605,18.5,675,0.0001417166058672592,0.001
0.8049849246231155,8,0,196,24.5,3153,24.5,698,7.2768161771819e-05,0.001
0.724391959798995,12,0,277,23.083333333333332,3182,23.083333333333332,719,4.085408727405593e-05,0.001
0.6428040201005025,16,0,359,22.4375,2674,22.4375,739,4.101152444491163e-05,0.001
0.5920603015075377,20,0,410,20.5,2693,20.5,752,5.012945257476531e-05,0.001
0.5373366834170854,24,0,465,19.375,2537,19.375,766,6.878414569655433e-05,0.001
0.4826130653266332,28,0,520,18.571428571428573,2626,18.571428571428573,779,4.764938057633117e-05,0.001
0.4179396984924624,32,0,585,18.28125,2427,18.28125,796,0.00022003318008501083,0.001
0.3622211055276382,36,0,641,17.805555555555557,2457,17.805555555555557,810,3.983826536568813e-05,0.001
0.3104824120603016,40,0,693,17.325,2370,17.325,823,5.7358076446689665e-05,0.001
0.2627236180904523,44,0,741,16.84090909090909,2404,16.84090909090909,835,3.748778544832021e-05,0.001
0.20799999999999996,48,0,796,16.583333333333332,2332,16.583333333333332,848,0.00030568751390092075,0.001
0.1602412060301508,52,0,844,16.23076923076923,2270,16.23076923076923,860,9.208900883095339e-05,0.001
0.11447236180904519,56,0,890,15.892857142857142,2290,15.892857142857142,872,0.00024395667423959821,0.001
0.07268341708542703,60,0,932,15.533333333333333,2308,15.533333333333333,882,0.00019818167493212968,0.001
0.023929648241206025,64,0,981,15.328125,2223,15.328125,895,0.00015948893269523978,0.001
0.8965226130653267,4,0,104,26.0,468374361246531584,26.0,900,0.0005311736604198813,0.001
0.7840904522613066,8,0,217,27.125,3379,27.125,929,0.0002051953342743218,0.001
0.7283718592964824,12,0,273,22.75,3040,22.75,943,0.00014532719796989113,0.001
0.639819095477387,16,0,362,22.625,2680,22.625,965,2.783807212836109e-05,0.001
0.5870854271356784,20,0,415,20.75,2559,20.75,978,3.07333939417731e-05,0.001
0.5393266331658291,24,0,463,19.291666666666668,2494,19.291666666666668,990,3.7446672649821267e-05,0.001
0.4885829145728643,28,0,514,18.357142857142858,2448,18.357142857142858,1003,7.317653216887265e-05,0.001
0.43584924623115573,32,0,567,17.71875,2401,17.71875,1016,2.6896803319687024e-05,0.001
0.3890854271356784,36,0,614,17.055555555555557,2357,17.055555555555557,1028,3.270036177127622e-05,0.001
0.3443115577889446,40,0,659,16.475,2332,16.475,1039,0.00017435431072954088,0.001
0.2955577889447236,44,0,708,16.09090909090909,2297,16.09090909090909,1051,3.506167195155285e-05,0.001
0.24978894472361812,48,0,754,15.708333333333334,2331,15.708333333333334,1063,2.4958746507763863e-05,0.001
0.19904522613065323,52,0,805,15.48076923076923,2269,15.48076923076923,1076,5.976383909001015e-05,0.001
0.15427135678391957,56,0,850,15.178571428571429,2264,15.178571428571429,1087,2.176736597903073e-05,0.001
0.10850251256281407,60,0,896,14.933333333333334,2227,14.933333333333334,1098,7.369850209215656e-05,0.001
0.05576884422110562,64,0,949,14.828125,2185,14.828125,1112,0.0002810562727972865,0.001
0.01,68,0,997,14.661764705882353,2215,14.661764705882353,1124,4.958958743372932e-05,0.001
0.9243819095477387,4,0,76,19.0,342273571680157696,19.0,1125,6.555821164511144e-05,0.001
0.7860804020100502,8,0,215,26.875,3170,26.875,1153,2.75757338386029e-05,0.001
0.7134472361809046,12,0,288,24.0,3133,24.0,1171,3.164782901876606e-05,0.001
0.6149447236180905,16,0,387,24.1875,2742,24.1875,1196,2.1504140022443607e-05,0.001
0.5691758793969849,20,0,433,21.65,2783,21.65,1208,2.5195990019710734e-05,0.001
0.5154472361809046,24,0,487,20.291666666666668,2598,20.291666666666668,1221,4.647556124837138e-05,0.001
0.46370854271356776,28,0,539,19.25,2652,19.25,1234,0.00013021370978094637,0.001
0.4079899497487438,32,0,595,18.59375,2467,18.59375,1248,0.00012170121044619009,0.001
0.3622211055276382,36,0,641,17.805555555555557,2548,17.805555555555557,1260,0.00016687295283190906,0.001
0.3114773869346734,40,0,692,17.3,2453,17.3,1272,1.9162707758368924e-05,0.001
0.2567537688442211,44,0,747,16.977272727272727,2383,16.977272727272727,1286,3.466817724984139e-05,0.001
0.20601005025125618,48,0,798,16.625,2339,16.625,1299,5.835395859321579e-05,0.001
0.15825125628140713,52,0,846,16.26923076923077,2343,16.26923076923077,1311,1.349728881905321e-05,0.001
0.11347738693467335,56,0,891,15.910714285714286,2362,15.910714285714286,1322,1.6630378013360314e-05,0.001
0.06571859296482419,60,0,939,15.65,2285,15.65,1334,3.49151341652032e-05,0.001
0.016964824120603073,64,0,988,15.4375,2244,15.4375,1346,1.006551246973686e-05,0.001
0.9482613065326633,4,0,52,13.0,4956,13.0,1350,0.00010896684398176149,0.001
0.8855778894472361,8,0,115,14.375,6621,14.375,1353,5.208921356825158e-05,0.001
0.7651859296482413,12,0,236,19.666666666666668,3073,19.666666666666668,1383,2.5479852411081083e-05,0.001
0.7084723618090453,16,0,293,18.3125,2815,18.3125,1398,2.5315974198747426e-05,0.001
0.6517587939698493,20,0,350,17.5,2705,17.5,1412,1.1542111678863876e-05,0.001
0.5980301507537689,24,0,404,16.833333333333332,2613,16.833333333333332,1425,0.0002019296371145174,0.001
0.5353467336683416,28,0,467,16.678571428571427,2517,16.678571428571427,1441,0.00015448156045749784,0.001
0.4786331658291457,32,0,524,16.375,2476,16.375,1455,0.0003179194172844291,0.001
0.4298793969849247,36,0,573,15.916666666666666,2414,15.916666666666666,1468,3.7410696677397937e-05,0.001
0.3761507537688442,40,0,627,15.675,2385,15.675,1481,7.962378731463104e-06,0.001
0.3194371859296481,44,0,684,15.545454545454545,2321,15.545454545454545,1495,2.7128886358696036e-05,0.001
0.2676984924623116,48,0,736,15.333333333333334,2281,15.333333333333334,1508,0.0001772675896063447,0.001
0.2199396984924622,52,0,784,15.076923076923077,2241,15.076923076923077,1520,1.0470647794136312e-05,0.001
0.17715577889447243,56,0,827,14.767857142857142,2189,14.767857142857142,1531,1.4723224921908695e-05,0.001
0.12641206030150753,60,0,878,14.633333333333333,2172,14.633333333333333,1544,0.0001126123679568991,0.001
0.07666331658291448,64,0,928,14.5,2166,14.5,1556,1.6153288015630096e-05,0.001
0.027909547738693585,68,0,977,14.367647058823529,2146,14.367647058823529,1569,2.712978130148258e-05,0.001
0.8975175879396985,4,0,103,25.75,25106,25.75,1575,1.4724451830261387e-05,0.001
0.8099597989949748,8,0,191,23.875,4176,23.875,1597,0.00041551029426045716,0.001
0.7054874371859297,12,0,296,24.666666666666668,3096,24.666666666666668,1623,0.000200527225388214,0.001
0.6507638190954774,16,0,351,21.9375,3144,21.9375,1637,0.00011084636207669973,0.001
0.5572361809045225,20,0,445,22.25,2805,22.25,1661,1.483800861024065e-05,0.001
0.4885829145728643,24,0,514,21.416666666666668,2698,21.416666666666668,1678,9.632280125515535e-05,0.001
0.4239095477386935,28,0,579,20.678571428571427,2490,20.678571428571427,1694,4.144932245253585e-05,0.001
0.36321608040201003,32,0,640,20.0,2522,20.0,1709,3.326966179884039e-05,0.001
0.30948743718592975,36,0,694,19.27777777777778,2428,19.27777777777778,1723,0.0001235191448358819,0.001
0.26073366834170864,40,0,743,18.575,2448,18.575,1735,1.6874089851626195e-05,0.001
0.2089949748743718,44,0,795,18.068181818181817,2380,18.068181818181817,1748,5.1804665417876095e-05,0.001
0.16521608040201008,48,0,839,17.479166666666668,2408,17.479166666666668,1759,0.0001531599264126271,0.001
0.1174572864321608,52,0,887,17.057692307692307,2335,17.057692307692307,1771,2.0641582523239776e-05,0.001
0.06671356783919613,56,0,938,16.75,2371,16.75,1784,2.3228847567224875e-05,0.001
0.016964824120603073,60,0,988,16.466666666666665,2282,16.466666666666665,1796,7.949855898914393e-06,0.001
0.9243819095477387,4,0,76,19.0,12205,19.0,1800,1.6269033949356526e-05,0.001
0.8577185929648241,8,0,143,17.875,4654,17.875,1810,3.5712422686629e-05,0.001
0.7781206030150754,12,0,223,18.583333333333332,3436,18.583333333333332,1830,2.0331801351858303e-05,0.001
0.7025025125628142,16,0,299,18.6875,3287,18.6875,1849,2.5193665351253003e-05,0.001
0.632854271356784,20,0,369,18.45,3001,18.45,1867,1.829532084229868e-05,0.001
0.5681809045226132,24,0,434,18.083333333333332,2806,18.083333333333332,1883,1.2631261597562116e-05,0.001
0.5104723618090452,28,0,492,17.571428571428573,2588,17.571428571428573,1897,2.380486148467753e-05,0.001
0.44679396984924624,32,0,556,17.375,2542,17.375,1913,2.9974846256664023e-05,0.001
0.4000301507537688,36,0,603,16.75,2589,16.75,1925,9.744579438120127e-05,0.001
0.35028140703517585,40,0,653,16.325,2469,16.325,1938,1.0305245268682484e-05,0.001
0.2955577889447236,44,0,708,16.09090909090909,2438,16.09090909090909,1951,1.3645018043462187e-05,0.001
0.24978894472361812,48,0,754,15.708333333333334,2418,15.708333333333334,1963,8.259098831331357e-05,0.001
0.20501507537688446,52,0,799,15.365384615384615,2438,15.365384615384615,1974,1.6595346096437424e-05,0.001
0.1522814070351759,56,0,852,15.214285714285714,2364,15.214285714285714,1987,0.00010792859393404797,0.001
0.10551758793969856,60,0,899,14.983333333333333,2301,14.983333333333333,1999,0.00013018168101552874,0.001
0.05079396984924622,64,0,954,14.90625,2260,14.90625,2013,1.7093127098632976e-05,0.001
0.9204020100502512,4,0,80,20.0,5761,20.0,2025,7.90922058513388e-05,0.001
0.8597085427135678,8,0,141,17.625,4227,17.625,2035,1.9979341232101433e-05,0.001
0.774140703517588,12,0,227,18.916666666666668,3150,18.916666666666668,2056,1.4432581338041928e-05,0.001
0.7114572864321608,16,0,290,18.125,3300,18.125,2072,1.2823018550989218e-05,0.001
0.6079798994974874,20,0,394,19.7,2911,19.7,2098,3.501512037473731e-05,0.001
0.554251256281407,24,0,448,18.666666666666668,2685,18.666666666666668,2111,1.7099917386076413e-05,0.001
0.48460301507537684,28,0,518,18.5,2609,18.5,2129,1.9024309949600138e-05,0.001
0.4288844221105528,32,0,574,17.9375,2494,17.9375,2143,6.009615754010156e-05,0.001
0.3731658291457286,36,0,630,17.5,2409,17.5,2157,3.039637886104174e-05,0.001
0.3244120603015075,40,0,679,16.975,2448,16.975,2169,8.397454803343862e-05,0.001
0.27167839195979904,44,0,732,16.636363636363637,2361,16.636363636363637,2182,8.644410627312027e-06,0.001
0.2229246231155778,48,0,781,16.270833333333332,2399,16.270833333333332,2195,6.921528984094039e-05,0.001
0.17317587939698498,52,0,831,15.98076923076923,2333,15.98076923076923,2207,1.2519771189545281e-05,0.001
0.1224321608040202,56,0,882,15.75,2370,15.75,2220,1.1411620107537601e-05,0.001
0.06870351758793969,60,0,936,15.6,2318,15.6,2233,7.665796874789521e-05,0.001
0.023929648241206025,64,0,981,15.328125,2252,15.328125,2245,8.152372174663469e-05,0.001
0.922391959798995,4,0,78,19.5,4995,19.5,2250,0.4707476794719696,0.001
0.8139396984924623,8,0,187,23.375,3283,23.375,2271,0.047262173146009445,0.001
0.7194170854271356,12,0,282,23.5,2813,23.5,2295,0.007479619700461626,0.001
0.6527537688442211,16,0,349,21.8125,2635,21.8125,2312,0.04442796856164932,0.001
0.5741507537688443,20,0,428,21.4,2543,21.4,2331,0.03507324308156967,0.001
0.5253969849246232,24,0,477,19.875,2467,19.875,2344,0.02047264389693737,0.001
0.4806231155778894,28,0,522,18.642857142857142,2437,18.642857142857142,2355,0.027359146624803543,0.001
0.4179396984924624,32,0,585,18.28125,2349,18.28125,2371,0.015931766480207443,0.001
0.33436180904522605,36,0,669,18.583333333333332,2396,18.583333333333332,2392,0.020588437095284462,0.001
0.2487939698492463,40,0,755,18.875,2311,18.875,2413,0.022863155230879784,0.001
0.1821306532663317,44,0,822,18.681818181818183,2281,18.681818181818183,2430,0.007611619774252176,0.001
0.1224321608040202,48,0,882,18.375,2250,18.375,2445,0.026950350031256676,0.001
0.03785929648241204,52,0,967,18.596153846153847,2213,18.596153846153847,2466,0.011312626302242279,0.001
0.9134371859296483,4,0,87,21.75,5469,21.75,2475,0.025856204330921173,0.001
0.8398090452261306,8,0,161,20.125,3164,20.125,2490,0.021283136680722237,0.001
0.7512562814070352,12,0,250,20.833333333333332,2847,20.833333333333332,2512,0.03851672634482384,0.001
0.6726532663316583,16,0,329,20.5625,2431,20.5625,2532,0.01426682434976101,0.001
0.5681809045226132,20,0,434,21.7,2362,21.7,2558,0.017405526712536812,0.001
0.4995276381909547,24,0,503,20.958333333333332,2348,20.958333333333332,2575,0.03389441594481468,0.001
0.4288844221105528,28,0,574,20.5,2322,20.5,2593,0.01793721690773964,0.001
0.36122613065326625,32,0,642,20.0625,2185,20.0625,2610,0.015516308136284351,0.001
0.25874371859296474,36,0,745,20.694444444444443,2186,20.694444444444443,2636,0.015204613097012043,0.001
0.19904522613065323,40,0,805,20.125,2161,20.125,2651,0.01560981385409832,0.001
0.15029145728643212,44,0,854,19.40909090909091,2199,19.40909090909091,2663,0.01235771831125021,0.001
0.0716884422110553,48,0,933,19.4375,2140,19.4375,2683,0.013655032031238079,0.001
0.019949748743718576,52,0,985,18.942307692307693,2126,18.942307692307693,2696,0.009625565260648727,0.001
0.8776180904522612,4,0,123,30.75,5543,30.75,2705,0.017441371455788612,0.001
0.774140703517588,8,0,227,28.375,3352,28.375,2731,0.027085768058896065,0.001
0.7224020100502513,12,0,279,23.25,3038,23.25,2744,0.018552277237176895,0.001
0.6159396984924623,16,0,386,24.125,2747,24.125,2771,0.016096074134111404,0.001
0.5502713567839197,20,0,452,22.6,2667,22.6,2787,0.01572399213910103,0.001
0.4806231155778894,24,0,522,21.75,2565,21.75,2805,0.02241227775812149,0.001
0.38212060301507544,28,0,621,22.178571428571427,2450,22.178571428571427,2830,0.013000177219510078,0.001
0.2895879396984925,32,0,714,22.3125,2383,22.3125,2853,0.02115747332572937,0.001
0.23685427135678383,36,0,767,21.305555555555557,2354,21.305555555555557,2866,0.016341697424650192,0.001
0.15825125628140713,40,0,846,21.15,2288,21.15,2886,0.011243026703596115,0.001
0.10850251256281407,44,0,896,20.363636363636363,2259,20.363636363636363,2898,0.015297520905733109,0.001
0.05377889447236184,48,0,951,19.8125,2253,19.8125,2912,0.01228918693959713,0.001
0.915427135678392,4,0,85,21.25,382805968326492160,21.25,2925,0.005819219164550304,0.001
0.8318492462311557,8,0,169,21.125,4038,21.125,2942,0.011260751634836197,0.001
0.7164321608040203,12,0,285,23.75,3188,23.75,2971,0.00981880072504282,0.001
