train/explained_variance,time/fps,time/iterations,train/value_loss,time/total_timesteps,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_loss,train/learning_rate,time/time_elapsed,train/n_updates
-0.02504444122314453,166,100,0.38358888030052185,500,-1.385982632637024,0.35,7.933333333333334,0.5166531205177307,0.00025,3,99
nan,142,200,0.01153569109737873,1000,-1.3862746953964233,0.41,8.68,-0.14865535497665405,0.00025,7,199
-103.00334167480469,179,100,0.05064106732606888,500,-1.3860504627227783,0.30303030303030304,7.424242424242424,0.2765628695487976,0.00025,2,299
-0.335790753364563,187,200,0.04883735254406929,1000,-1.386183738708496,0.41,8.64,-0.26945748925209045,0.00025,5,399
-185.11546325683594,194,100,0.002479586051777005,500,-1.3849341869354248,0.45098039215686275,9.764705882352942,-0.004303351044654846,0.00025,2,499
-0.15321052074432373,193,200,0.0025921985507011414,1000,-1.385524868965149,0.45,9.44,-0.0532691590487957,0.00025,5,599
-1.933405876159668,192,100,0.003989767283201218,500,-1.3846317529678345,0.36065573770491804,8.147540983606557,-0.06404875963926315,0.00025,2,699
-5.813807487487793,190,200,0.008885098621249199,1000,-1.3853528499603271,0.37,8.33,-0.11034286022186279,0.00025,5,799
-79.47708892822266,190,100,0.020594649016857147,500,-1.3727468252182007,0.22857142857142856,7.0,0.1215093582868576,0.00025,2,899
0.9810242056846619,190,200,0.0008996945107355714,1000,-1.3788862228393555,0.3,7.94,0.037835896015167236,0.00025,5,999
0.7974311113357544,197,100,0.03783639892935753,500,-1.3125934600830078,0.3728813559322034,8.457627118644067,0.1406068503856659,0.00025,2,1099
-123.71833038330078,195,200,0.014467144384980202,1000,-1.3407574892044067,0.43,9.02,0.1526074856519699,0.00025,5,1199
-57321.1171875,167,100,0.30489587783813477,500,-1.2758933305740356,0.2608695652173913,7.202898550724638,-0.8406867980957031,0.00025,2,1299
0.9714426398277283,175,200,0.008618990890681744,1000,-1.15907883644104,0.34,8.09,0.0024005889426916838,0.00025,5,1399
-87.47870635986328,191,100,0.00024472898803651333,500,-1.2818447351455688,0.30303030303030304,7.545454545454546,0.005273587070405483,0.00025,2,1499
0.8373019695281982,195,200,0.15871977806091309,1000,-0.9448637962341309,0.41,8.65,0.27553826570510864,0.00025,5,1599
0.5832338333129883,194,100,0.10087653249502182,500,-0.9263421297073364,0.3389830508474576,8.220338983050848,0.16854198276996613,0.00025,2,1699
-6.721032619476318,194,200,3.728573574335314e-05,1000,-1.0481388568878174,0.38,8.54,0.0005266055231913924,0.00025,5,1799
-4.314605236053467,192,100,0.0018455550307407975,500,-1.0889718532562256,0.45454545454545453,9.072727272727272,0.031168397516012192,0.00025,2,1899
-0.522010326385498,192,200,0.00020250794477760792,1000,-1.078918218612671,0.35,8.08,-0.016723211854696274,0.00025,5,1999
nan,194,100,0.014854006469249725,500,-0.8844272494316101,0.4716981132075472,9.433962264150944,-0.0904027670621872,0.00025,2,2099
0.9912025928497314,194,200,0.008187856525182724,1000,-0.8026332855224609,0.44,9.11,-0.028444042429327965,0.00025,5,2199
0.9433309435844421,192,100,0.00014350887795444578,500,-0.8210059404373169,0.26153846153846155,7.6461538461538465,-0.000725742313079536,0.00025,2,2299
-2.97790789604187,195,200,0.0001764385960996151,1000,-1.0380419492721558,0.38,8.64,0.0038591711781919003,0.00025,5,2399
-0.0833503007888794,198,100,0.00016806200437713414,500,-0.767090380191803,0.41818181818181815,9.018181818181818,-0.0019498603651300073,0.00025,2,2499
-0.4102987051010132,195,200,0.00045418087393045425,1000,-0.8192803263664246,0.39,8.85,-0.010731053538620472,0.00025,5,2599
0.9627249836921692,195,100,0.007889634929597378,500,-0.855219841003418,0.52,9.92,0.0396537221968174,0.00025,2,2699
0.9939072728157043,196,200,0.0069734565913677216,1000,-0.8316914439201355,0.44,9.24,-0.05503339320421219,0.00025,5,2799
nan,193,100,7.726570765953511e-05,500,-1.0020471811294556,0.4107142857142857,8.928571428571429,-0.005667686462402344,0.00025,2,2899
-8.460408210754395,191,200,0.004739408381283283,1000,-0.7675095796585083,0.32,7.88,-0.028636207804083824,0.00025,5,2999
nan,188,100,5.211015741224401e-05,500,-0.9063024520874023,0.3064516129032258,8.064516129032258,0.004393490497022867,0.00025,2,3099
